;;HISAP;PRIMER;VIBGRATE;FEEDER
227;11.37;10;5;6;30
228;11.37;10;5;6;30
229;11.37;10;5;6;30
230;11.37;10;5;6;30
231;11.37;10;5;6;30
232;11.37;10;5;6;30
233;11.37;10;5;6;30
234;11.37;10;5;6;30
235;11.37;10;5;6;30
236;11.37;10;5;6;30
237;11.37;10;5;6;30
238;11.37;10;5;6;30
239;11.37;10;5;6;30
240;11.38;8;7;6;30
241;11.38;8;7;6;30
242;11.38;8;7;6;30
243;11.38;8;7;6;30
244;11.38;8;7;6;30
245;11.38;8;7;6;30
246;11.38;8;7;6;30
247;11.38;8;7;6;30
248;11.38;8;7;6;30
249;11.38;8;7;6;30
250;11.38;8;7;6;30
251;11.38;8;7;6;30
252;11.38;8;7;6;30
253;11.38;8;7;6;30
254;11.38;8;7;6;30
255;11.38;8;7;6;30
256;11.38;8;7;6;30
257;11.38;8;7;6;30
258;11.38;8;7;6;30
259;11.38;8;7;6;30
260;11.38;8;7;6;30
261;11.38;8;7;6;30
262;11.38;8;7;6;30
263;11.38;8;7;6;30
264;11.38;8;7;6;30
265;11.38;8;7;6;30
266;11.39;8;7;6;30
267;11.39;8;7;6;30
268;11.39;8;7;6;30
269;11.39;8;7;6;30
270;11.39;8;7;6;30
271;11.39;8;7;6;30
272;11.39;8;7;6;30
273;11.39;8;7;6;30
274;11.39;8;7;6;30
275;11.39;8;7;6;30
276;11.39;8;7;6;30
277;11.39;8;7;6;30
278;11.39;8;7;6;30
279;11.39;8;7;6;30
280;11.39;8;7;6;30
281;11.39;8;7;6;30
282;11.39;8;7;6;30
283;11.39;8;7;6;30
284;11.39;8;7;6;30
285;11.39;8;7;6;30
286;11.39;8;7;6;30
287;11.39;8;7;6;30
288;11.39;8;7;6;30
289;11.39;8;7;6;30
290;11.39;8;7;6;30
291;11.39;8;7;6;30
292;11.39;8;7;6;30
293;11.39;8;7;6;30
294;11.39;8;7;6;30
295;11.39;8;7;6;30
296;11.39;8;7;6;30
297;11.39;8;7;6;30
298;11.40;9;7;7;30
299;11.40;9;7;7;30
300;11.40;9;7;7;30
301;11.40;9;7;7;30
302;11.40;9;7;7;30
303;11.40;9;7;7;30
304;11.40;9;7;7;30
305;11.40;9;7;7;30
306;11.40;9;7;7;30
307;11.40;9;7;7;30
308;11.40;9;7;7;30
309;11.40;9;7;7;30
310;11.40;9;7;7;30
311;11.40;9;7;7;30
312;11.40;9;7;7;30
313;11.40;9;7;7;30
314;11.40;9;7;7;30
315;11.40;9;7;7;30
316;11.40;9;7;7;30
317;11.40;9;7;7;30
318;11.40;9;7;7;30
319;11.40;9;7;7;30
320;11.40;9;7;7;30
321;11.40;9;7;7;30
322;11.40;9;7;7;30
323;11.41;9;7;7;30
324;11.41;9;7;7;30
