;;DRYING;PIRO;RED;COMB
223;11.37;1;-1;0;0
224;11.37;2;0;0;0
225;11.37;2;-1;0;0
226;11.37;2;0;0;0
227;11.37;2;0;1;0
228;11.37;1;0;0;0
229;11.37;2;-1;0;0
230;11.37;1;0;0;0
231;11.37;1;0;0;0
232;11.37;0;0;0;0
233;11.37;1;0;0;0
234;11.37;1;0;0;0
235;11.37;0;-1;0;0
236;11.37;0;0;0;0
237;11.37;1;0;0;0
238;11.37;0;-1;0;0
239;11.37;2;0;0;0
240;11.38;1;0;0;0
241;11.38;1;0;0;0
242;11.38;3;-1;0;0
243;11.38;2;0;0;0
244;11.38;2;0;0;0
245;11.38;3;0;0;0
246;11.38;0;0;0;0
247;11.38;2;0;0;0
248;11.38;1;-1;0;0
249;11.38;0;0;0;0
250;11.38;1;0;0;0
251;11.38;0;0;0;0
252;11.38;-1;0;0;0
253;11.38;-2;0;0;0
254;11.38;-4;-1;0;0
255;11.38;-1;0;0;0
256;11.38;-2;-1;0;0
257;11.38;-4;0;0;0
258;11.38;-1;-1;0;0
259;11.38;-2;0;0;0
260;11.38;-1;0;0;0
261;11.38;-2;-1;0;0
262;11.38;0;0;0;0
263;11.38;-2;-1;0;0
264;11.38;-1;0;0;0
265;11.38;0;0;0;0
266;11.39;6;-1;0;0
267;11.39;0;0;0;0
268;11.39;0;0;0;0
269;11.39;-2;-1;0;0
270;11.39;-1;0;0;0
271;11.39;-2;0;0;0
272;11.39;-1;0;0;0
273;11.39;-1;-1;0;0
274;11.39;-2;0;0;0
275;11.39;-1;0;0;0
276;11.39;-1;-1;0;0
277;11.39;-1;0;0;0
278;11.39;-2;0;0;0
279;11.39;-1;0;0;-1
280;11.39;0;-1;0;0
281;11.39;-1;0;0;0
282;11.39;-1;0;0;0
283;11.39;-1;0;0;0
284;11.39;-1;-1;0;0
285;11.39;0;0;0;0
286;11.39;-1;0;0;0
287;11.39;-1;0;0;0
288;11.39;-1;0;0;0
289;11.39;-4;-1;0;0
290;11.39;-1;0;0;0
291;11.39;0;0;0;0
292;11.39;-2;-1;0;0
293;11.39;-1;0;0;0
294;11.39;-1;0;0;0
295;11.39;-1;0;0;0
296;11.39;-1;0;0;0
297;11.39;-1;-1;0;0
298;11.40;-1;0;0;0
299;11.40;-1;0;0;0
300;11.40;-2;0;0;0
301;11.40;0;0;0;0
302;11.40;-2;0;0;0
303;11.40;-2;-1;0;0
304;11.40;0;0;0;0
305;11.40;-2;0;0;0
306;11.40;-1;0;0;0
307;11.40;-1;0;0;0
308;11.40;-3;0;0;0
309;11.40;-1;-1;0;0
310;11.40;-1;0;0;0
311;11.40;-3;0;0;0
312;11.40;-1;0;0;0
313;11.40;-2;0;0;0
314;11.40;-1;0;0;0
315;11.40;-1;1;0;0
316;11.40;-1;0;0;0
317;11.40;0;0;0;0
318;11.40;-2;0;1;0
319;11.40;-1;0;0;0
320;11.40;0;0;0;0
321;11.40;-1;1;0;0
322;11.40;-1;0;0;0
323;11.41;-2;1;1;0
324;11.41;0;0;0;0
325;11.41;-1;1;0;0
326;11.41;0;0;0;0
327;11.41;-1;0;1;0
328;11.41;-1;1;0;0
329;11.41;-1;0;0;0
330;11.41;0;1;1;0
331;11.41;0;0;0;0
332;11.41;0;0;0;0
333;11.41;-1;1;0;0
334;11.41;0;1;0;0
335;11.41;-1;1;1;0
336;11.41;0;0;0;0
337;11.41;0;0;0;0
338;11.41;0;0;0;0
339;11.41;0;1;0;0
340;11.41;0;0;0;0
341;11.41;-1;1;0;0
342;11.41;0;1;1;0
343;11.41;0;0;0;0
344;11.41;-1;2;0;0
345;11.41;0;0;1;0
346;11.41;0;0;0;0
347;11.41;0;1;0;0
348;11.41;0;0;0;0
349;11.41;0;1;0;0
350;11.41;-1;0;0;0
351;11.41;0;0;0;0
352;11.41;0;1;1;0
353;11.42;0;0;0;0
354;11.42;0;1;0;0
355;11.42;0;0;0;0
356;11.42;0;1;0;0
357;11.42;-1;1;1;0
358;11.42;0;0;0;0
359;11.42;0;0;0;1
360;11.42;0;1;0;0
361;11.42;0;1;0;0
362;11.42;0;0;0;1
363;11.42;-1;1;1;1
364;11.42;0;0;0;0
365;11.42;0;1;0;3
366;11.42;0;2;1;6
367;11.42;0;0;0;2
368;11.42;0;1;0;5
369;11.42;0;0;0;5
370;11.42;-1;1;1;4
371;11.42;0;1;0;8
372;11.42;0;0;0;7
373;11.42;0;1;0;3
374;11.42;0;2;1;7
375;11.42;0;1;0;5
376;11.42;0;0;0;3
377;11.42;-1;1;0;3
378;11.42;0;2;1;3
379;11.42;0;1;0;8
380;11.42;0;1;1;10
381;11.42;0;1;0;6
382;11.42;-1;1;0;10
383;11.42;0;2;1;7
384;11.42;0;2;0;3
385;11.43;0;1;0;6
386;11.43;0;2;1;10
387;11.43;0;2;0;6
388;11.43;0;2;1;3
389;11.43;-1;2;0;10
390;11.43;0;4;1;4
391;11.43;0;2;0;5
392;11.43;0;3;1;10
393;11.43;0;1;0;4
394;11.43;0;5;1;6
